miRNA,mRNA,coeff 2,coeff 7,VIP 2,Vip 7
hsa_miR_636_4395199,_221702_s_at,-0.2385253202,-0.2933848883,1.60754,1.55442
hsa_miR_758_4395180,_221702_s_at,-0.262936807,-0.314954507,1.82827,1.52779
hsa_miR_873_4395467,_221688_s_at,0.2229541422,0.2265618412,1.50699,1.51854
hsa_miR_636_4395199,_221641_s_at,0.2075853182,0.2019412432,1.57334,1.55274
hsa_miR_363_4378090,_221559_s_at,0.2911749727,0.2848613412,1.96814,2.01889
hsa_miR_363_4378090,_221543_s_at,0.4060401119,0.4394377361,2.33861,2.41513
hsa_miR_363_4378090,_221539_at,-0.2601687223,-0.216236931,1.62176,1.41975
hsa_miR_363_4378090,_221536_s_at,0.2033512987,0.2294252022,1.45858,1.66371
hsa_miR_125a_5p_4395309,_221476_s_at,-0.2265245054,-0.2673618513,1.82713,1.89004
hsa_miR_758_4395180,_221269_s_at,0.2086449135,0.2296597954,1.52387,1.63248
hsa_miR_758_4395180,_221265_s_at,-0.2273654045,-0.220902883,1.87986,1.87126
hsa_miR_205_4373093,_221215_s_at,-0.2368118703,-0.2401662677,1.56156,1.54229
hsa_miR_363_4378090,_221081_s_at,-0.2847510316,-0.2933383275,1.66274,1.74031
hsa_miR_363_4378090,_221047_s_at,-0.2822120887,-0.338416741,1.91787,2.28063
hsa_miR_758_4395180,_221047_s_at,0.2205502328,0.2120597003,1.52219,1.46366
hsa_miR_410_4378093,_221027_s_at,0.229693234,0.2683019371,1.63419,1.24974
hsa_miR_758_4395180,_221011_s_at,-0.200973131,-0.2045590287,1.85185,1.13148
hsa_miR_205_4373093,_220948_s_at,-0.2137239328,-0.2319071079,1.38876,1.28544
hsa_miR_363_4378090,_220948_s_at,-0.2905737075,-0.3757522205,1.74852,2.00865
hsa_miR_363_4378090,_220939_s_at,0.3050131753,0.484854121,1.77995,2.16234
hsa_miR_758_4395180,_220939_s_at,-0.2209667337,-0.2245956785,1.34873,1.03064
hsa_miR_363_4378090,_220760_x_at,0.2476656642,0.2277473544,1.68348,1.63896
hsa_miR_125a_5p_4395309,_220638_s_at,-0.2019995378,-0.2285769862,1.18637,1.40021
hsa_miR_363_4378090,_220638_s_at,-0.2716678271,-0.2536612362,1.56162,1.53782
hsa_miR_125a_5p_4395309,_220488_s_at,-0.205850113,-0.2533884053,1.49767,1.23019
hsa_miR_758_4395180,_220488_s_at,-0.2224321453,-0.2916432661,1.55487,1.43598
hsa_miR_139_5p_4395400,_220467_at,-0.2622160056,-0.2640814675,1.28271,1.21989
hsa_miR_363_4378090,_220467_at,0.5072141827,0.5104131566,2.55664,2.50022
hsa_miR_125a_5p_4395309,_220445_s_at,-0.2106326428,-0.2798174382,0.94621,1.19221
hsa_miR_139_5p_4395400,_220445_s_at,-0.2866230255,-0.2652078383,1.2514,1.11753
hsa_miR_205_4373093,_220445_s_at,-0.2689680129,-0.2484660227,1.25715,1.1248
hsa_miR_221_4373077,_220445_s_at,0.2035285169,0.2155007964,1.37878,1.40743
hsa_miR_410_4378093,_220445_s_at,0.3944359558,0.3792747164,1.73341,1.72969
hsa_miR_616_4395525,_220445_s_at,0.2728479035,0.2791766071,1.26502,1.21592
hsa_miR_139_5p_4395400,_220251_at,-0.254713224,-0.3390427565,1.50379,1.81881
hsa_miR_363_4378090,_220251_at,0.3291590701,0.4224038242,1.921,2.34959
hsa_miR_758_4395180,_220251_at,-0.2506985827,-0.2734012278,1.62152,1.72303
hsa_miR_139_5p_4395400,_220239_at,0.2154082062,0.2926619544,1.63067,1.76837
hsa_miR_139_5p_4395400,_220011_at,0.2064001086,0.2109844163,1.15714,1.19242
hsa_miR_363_4378090,_220011_at,-0.5088880334,-0.4992301452,2.76671,2.79128
hsa_miR_758_4395180,_219990_at,0.2435883659,0.2890832753,1.71679,1.84172
hsa_miR_139_5p_4395400,_219982_s_at,-0.2188022079,-0.2459808835,1.56516,1.67223
hsa_miR_363_4378090,_219982_s_at,0.3621193664,0.3863436143,2.18164,2.24453
hsa_miR_758_4395180,_219982_s_at,-0.2139019815,-0.2216538678,1.24224,1.25472
hsa_miR_363_4378090,_219967_at,-0.2171934603,-0.2409985219,1.24315,1.26578
hsa_miR_758_4395180,_219874_at,0.2412362449,0.2980470575,1.59789,1.56102
hsa_miR_139_5p_4395400,_219822_at,-0.2028562476,-0.2148671332,0.98181,1.0447
hsa_miR_200c_4395411,_219822_at,0.2721731428,0.2722222838,1.3409,1.28196
hsa_miR_363_4378090,_219822_at,0.4675983379,0.4635525817,2.27954,2.21679
hsa_miR_518b_4373246,_219822_at,-0.2093446755,-0.2010034092,1.18009,1.17114
hsa_miR_636_4395199,_219822_at,-0.2994967697,-0.3081848464,1.5664,1.6334
hsa_miR_758_4395180,_219822_at,-0.2213259255,-0.2222663155,1.1953,1.0568
hsa_miR_873_4395467,_219822_at,-0.2832939248,-0.2769911755,1.58646,1.53494
hsa_miR_363_4378090,_219816_s_at,0.3017560889,0.397004131,1.89683,2.49651
hsa_miR_616_4395525,_219816_s_at,-0.2109556942,-0.2569551899,1.46408,1.74082
hsa_miR_125a_5p_4395309,_219789_at,-0.2007299617,-0.2093262531,1.56006,1.55336
hsa_miR_335_4373045,_219716_at,-0.266568328,-0.2142839925,1.48862,1.25846
hsa_miR_205_4373093,_219710_at,-0.2862396899,-0.2907146581,1.40964,1.31363
hsa_miR_335_4373045,_219710_at,0.2043287861,0.3018635462,1.29523,1.65018
hsa_miR_363_4378090,_219710_at,-0.319288571,-0.3499354521,1.62697,1.68361
hsa_miR_410_4378093,_219710_at,0.2551185414,0.2471511367,1.2858,1.28657
hsa_miR_616_4395525,_219710_at,0.2056030392,0.2179006173,1.07582,1.02142
hsa_miR_616_4395525,_219583_s_at,-0.2961248878,-0.2688315173,1.65941,1.65673
hsa_miR_873_4395467,_219583_s_at,0.3555022081,0.3147257529,1.94871,1.8975
hsa_miR_335_4373045,_219539_at,0.2205640124,0.2031286112,1.75555,1.58954
hsa_miR_758_4395180,_219537_x_at,-0.2011683644,-0.2245853277,1.46206,1.49583
hsa_miR_410_4378093,_219508_at,-0.23168297,0.2343289642,1.58896,0.82876
hsa_miR_125a_3p_4395310,_219503_s_at,-0.2188223478,-0.2204553989,1.41101,1.43589
hsa_miR_363_4378090,_219503_s_at,-0.3195392598,-0.3203799341,1.93377,1.96203
hsa_miR_363_4378090,_219479_at,0.2677019381,0.2034109299,1.91995,1.52258
hsa_miR_125a_5p_4395309,_219461_at,0.2018161852,0.2412683608,1.59559,1.74587
hsa_miR_758_4395180,_219461_at,0.2241384113,0.2923410922,1.57216,1.73937
hsa_miR_205_4373093,_219449_s_at,0.239705186,0.2006030739,1.36231,1.26903
hsa_miR_335_4373045,_219449_s_at,-0.2066886304,-0.2486367729,1.28167,1.56056
hsa_miR_363_4378090,_219449_s_at,0.2348914562,0.2196672377,1.24677,1.26477
hsa_miR_125a_5p_4395309,_219446_at,-0.2043470355,-0.2384946072,1.67083,1.6643
hsa_miR_758_4395180,_219446_at,-0.2406901148,-0.3162034646,1.72427,1.64076
hsa_miR_125a_3p_4395310,_219426_at,-0.3057849073,-0.2586948742,1.72101,1.77949
hsa_miR_125a_5p_4395309,_219390_at,0.261659198,0.3426798382,1.79518,1.63518
hsa_miR_758_4395180,_219390_at,0.2604734273,0.364236321,1.63163,1.45833
hsa_miR_410_4378093,_219388_at,0.2001126981,0.2198906951,1.21696,1.26051
hsa_miR_363_4378090,_219375_at,-0.2419917951,-0.2920345176,1.71676,2.05057
hsa_miR_205_4373093,_219330_at,-0.2187742036,-0.2223514332,1.29412,1.27232
hsa_miR_363_4378090,_219330_at,-0.2267658995,-0.2201766897,1.23284,1.19393
hsa_miR_410_4378093,_219330_at,0.3007816229,0.3276556488,1.62388,1.84351
hsa_miR_616_4395525,_219330_at,0.225145872,0.2211599404,1.31619,1.25743
hsa_miR_139_5p_4395400,_219327_s_at,-0.2259091344,-0.2816721302,1.14595,1.34506
hsa_miR_363_4378090,_219327_s_at,0.3804152204,0.4459795104,1.92522,2.30767
hsa_miR_410_4378093,_219290_x_at,0.2117403634,0.25141162,1.40416,1.55256
hsa_miR_758_4395180,_219276_x_at,-0.2067869237,-0.2366819932,1.36821,1.34613
hsa_miR_335_4373045,_219244_s_at,0.2195411614,0.2175648913,1.45725,1.12459
hsa_miR_873_4395467,_219244_s_at,0.2272236391,0.352259928,1.50294,1.8104
hsa_miR_628_5p_4395544,_219203_at,-0.213417109,-0.2287643888,1.56459,1.53857
hsa_miR_363_4378090,_219124_at,0.227830458,0.3300157973,1.49679,1.77784
hsa_miR_758_4395180,_219124_at,-0.2615961215,-0.3200268761,1.65131,1.6745
hsa_miR_139_5p_4395400,_219099_at,0.2571376963,0.2219299122,1.72595,1.71511
hsa_miR_363_4378090,_219099_at,-0.2625988481,-0.2206424699,1.69498,1.62974
hsa_miR_758_4395180,_219083_at,-0.2124466915,-0.2024638185,1.58288,1.5377
hsa_miR_410_4378093,_219058_x_at,0.2106610336,0.2407755193,1.41634,1.53729
hsa_miR_125a_5p_4395309,_219054_at,-0.2089284779,-0.239265333,1.69319,1.6347
hsa_miR_139_5p_4395400,_219036_at,-0.2412067288,-0.2248951279,1.57535,1.50827
hsa_miR_363_4378090,_219036_at,0.3021617604,0.2819510725,1.83125,1.76565
