miRNA,mRNA,coeff 2,coeff 7,VIP 2,Vip 7
hsa_miR_205_4373093,_215243_s_at,-0.2877436142,-0.2884581853,1.29772,1.21295
hsa_miR_335_4373045,_215243_s_at,0.2096905639,0.2909991626,1.29813,1.57491
hsa_miR_363_4378090,_215243_s_at,-0.3987646018,-0.4168562668,1.92354,1.9204
hsa_miR_410_4378093,_215243_s_at,0.2503344695,0.2426322394,1.19435,1.22248
hsa_miR_616_4395525,_215243_s_at,0.2372505367,0.2433474228,1.09838,1.03875
hsa_miR_125a_5p_4395309,_215177_s_at,-0.2312308059,-0.2727213273,1.06143,1.24924
hsa_miR_205_4373093,_215177_s_at,-0.2336241971,-0.2013044451,1.12447,0.99819
hsa_miR_363_4378090,_215177_s_at,-0.4678678903,-0.4563197815,2.22992,2.20292
hsa_miR_616_4395525,_215177_s_at,0.2414004642,0.2302814524,1.15532,1.09082
hsa_miR_363_4378090,_215084_s_at,-0.2747796263,-0.2690495885,1.80619,1.8298
hsa_miR_873_4395467,_215034_s_at,-0.2410599787,-0.217714096,1.69404,1.62509
hsa_miR_873_4395467,_215001_s_at,-0.2089333894,-0.2385731924,1.55396,1.5095
hsa_miR_363_4378090,_214875_x_at,0.3243373033,0.2605529583,2.1142,1.86528
hsa_miR_363_4378090,_214823_at,0.3297514559,0.3841661367,1.98396,2.16556
hsa_miR_363_4378090,_214800_x_at,0.2566165822,0.3057909574,1.67941,1.8573
hsa_miR_758_4395180,_214800_x_at,-0.225623522,-0.2535032055,1.4473,1.51388
hsa_miR_125a_5p_4395309,_214531_s_at,-0.203494606,-0.2071214612,1.35885,1.249
hsa_miR_363_4378090,_214531_s_at,0.2072566715,0.453641512,1.37747,1.75625
hsa_miR_758_4395180,_214531_s_at,-0.2402397208,-0.2692275432,1.80734,1.84206
hsa_miR_363_4378090,_214433_s_at,0.6084576373,0.5470648819,2.68693,2.54628
hsa_miR_139_5p_4395400,_214383_x_at,-0.2656032163,-0.2820783779,1.6932,1.6794
hsa_miR_758_4395180,_214118_x_at,-0.2346294343,-0.3474747363,1.85268,1.5833
hsa_miR_758_4395180,_214088_s_at,0.2126712906,0.2380575207,1.66483,1.80146
hsa_miR_335_4373045,_213892_s_at,0.2288972332,0.2074200731,1.76128,1.57223
hsa_miR_873_4395467,_213892_s_at,0.2123740739,0.2495998819,1.63858,1.83486
hsa_miR_139_5p_4395400,_213800_at,-0.2339536242,-0.2500947792,0.82962,0.86096
hsa_miR_363_4378090,_213800_at,0.5709440522,0.576980396,2.34135,2.33627
hsa_miR_636_4395199,_213800_at,-0.2430703055,-0.2522958878,0.86504,0.87077
hsa_miR_125a_3p_4395310,_213794_s_at,0.203639779,0.2755574298,0.92118,0.99161
hsa_miR_205_4373093,_213794_s_at,0.2707212706,0.2653718158,1.23121,0.97891
hsa_miR_363_4378090,_213794_s_at,0.4239619493,0.53323559,1.99836,2.13977
hsa_miR_616_4395525,_213794_s_at,-0.3087582739,-0.3671565752,1.38184,1.31685
hsa_miR_636_4395199,_213794_s_at,-0.2034092945,-0.2585413774,1.35678,1.43317
hsa_miR_363_4378090,_213754_s_at,-0.3116409892,-0.2737815571,1.87553,1.69049
hsa_miR_758_4395180,_213754_s_at,0.2447746061,0.2722379227,1.42242,1.64623
hsa_miR_363_4378090,_213709_at,0.2851723375,0.3241633078,1.93379,2.1134
hsa_miR_873_4395467,_213671_s_at,-0.2224021572,-0.2125194561,1.55554,1.51613
hsa_miR_200c_4395411,_213644_at,0.2069067265,0.2050982072,1.41811,1.17796
hsa_miR_200c_4395411,_213610_s_at,0.2000882669,0.2157925738,1.34637,1.34452
hsa_miR_873_4395467,_213610_s_at,-0.2637144357,-0.2856975163,1.59531,1.6273
hsa_miR_363_4378090,_213607_x_at,-0.2532807525,-0.2666781532,1.71539,1.80094
hsa_miR_758_4395180,_213518_at,0.219584109,0.2600436743,1.70692,1.90051
hsa_miR_363_4378090,_213398_s_at,0.3046755369,0.4013903401,2.18098,2.56245
hsa_miR_363_4378090,_213313_at,0.2806521933,0.2563160187,1.34832,1.31507
hsa_miR_200c_4395411,_213272_s_at,-0.2339119596,-0.2448420996,1.36997,1.29148
hsa_miR_205_4373093,_213272_s_at,-0.2231213603,-0.2288083561,1.31376,1.21271
hsa_miR_363_4378090,_213272_s_at,-0.3246842076,-0.3943284882,1.76634,1.97739
hsa_miR_125a_3p_4395310,_213135_at,-0.272245389,-0.2305607737,1.67244,1.67086
hsa_miR_363_4378090,_213112_s_at,-0.2354303391,-0.22839031,1.2276,1.2085
hsa_miR_628_5p_4395544,_213112_s_at,-0.2174573783,-0.2217431481,1.36766,1.36086
hsa_miR_873_4395467,_213112_s_at,0.2937612977,0.2984399594,1.57483,1.60343
hsa_miR_205_4373093,_213090_s_at,-0.2251437439,-0.2100753013,1.33118,1.43546
hsa_miR_616_4395525,_213090_s_at,0.2613370029,0.2065587778,1.45984,1.39765
hsa_miR_125a_3p_4395310,_213082_s_at,0.2592616974,0.2678999878,1.31903,1.35154
hsa_miR_139_5p_4395400,_213082_s_at,-0.2275168962,-0.2428477612,1.30693,1.16635
hsa_miR_363_4378090,_213082_s_at,0.5082884793,0.4995868832,2.39056,2.14127
hsa_miR_873_4395467,_213027_at,-0.327869054,-0.3072614735,2.09978,2.02562
hsa_miR_873_4395467,_212995_x_at,0.2467069354,0.2291142881,1.59138,1.58058
hsa_miR_139_5p_4395400,_212934_at,-0.2107298532,-0.2629764807,1.16302,1.19817
hsa_miR_363_4378090,_212934_at,0.4014688215,0.4817868351,2.13381,2.34917
hsa_miR_758_4395180,_212934_at,-0.2281774799,-0.226952977,1.22504,1.11548
hsa_miR_139_5p_4395400,_212887_at,0.2756209037,0.2535093449,1.13838,0.88854
hsa_miR_205_4373093,_212887_at,0.3296171989,0.2645393992,1.36709,0.94997
hsa_miR_221_4373077,_212887_at,-0.2003306978,-0.2611425134,1.46648,1.65097
hsa_miR_410_4378093,_212887_at,-0.3863137094,-0.2321286209,1.76471,1.12828
hsa_miR_616_4395525,_212887_at,-0.2476694781,-0.2822324666,1.05397,0.99328
hsa_miR_363_4378090,_212872_s_at,0.3263604422,0.3705773756,1.94002,2.04555
hsa_miR_335_4373045,_212866_at,0.3246132272,0.2205360927,1.52195,0.87454
hsa_miR_636_4395199,_212862_at,0.2020578274,0.2048423762,1.49147,1.45999
hsa_miR_873_4395467,_212861_at,0.2123682286,0.3259533062,1.65397,2.43619
hsa_miR_200c_4395411,_212795_at,0.2000186848,0.2076628361,1.32596,1.25823
hsa_miR_205_4373093,_212795_at,0.2074776506,0.2143565348,1.35561,1.27871
hsa_miR_363_4378090,_212757_s_at,-0.3915321968,-0.4002955764,2.09103,2.12846
hsa_miR_616_4395525,_212757_s_at,0.2089041461,0.2094861329,1.29823,1.25717
hsa_miR_363_4378090,_212747_at,0.253929849,0.2959091889,1.6645,1.80877
hsa_miR_758_4395180,_212744_at,-0.223452019,-0.2599258446,1.55119,1.51053
hsa_miR_363_4378090,_212740_at,0.3004712306,0.2723415877,2.04403,1.97861
hsa_miR_410_4378093,_212730_at,-0.2272552584,-0.2085838919,1.57076,1.3076
hsa_miR_758_4395180,_212730_at,-0.2206887085,-0.2732795182,1.54883,1.64745
hsa_miR_139_5p_4395400,_212729_at,-0.3779300291,-0.3513474808,1.6738,1.56103
hsa_miR_363_4378090,_212729_at,0.4187200001,0.3824215982,1.88856,1.76711
hsa_miR_125a_3p_4395310,_212669_at,-0.2038629151,-0.2044892601,1.02087,1.01361
hsa_miR_125a_5p_4395309,_212669_at,-0.2418431749,-0.2722120921,1.16765,1.29621
hsa_miR_363_4378090,_212669_at,-0.4403136881,-0.4371488996,2.18301,2.15526
hsa_miR_616_4395525,_212669_at,0.2325713433,0.2263651735,1.18488,1.12104
hsa_miR_139_5p_4395400,_212655_at,-0.2364376579,-0.2216059918,1.68661,1.64398
hsa_miR_363_4378090,_212655_at,0.2961903472,0.2772882979,2.01931,1.97247
hsa_miR_205_4373093,_212644_s_at,0.2394469693,0.2308301251,1.15111,1.34049
hsa_miR_363_4378090,_212644_s_at,0.3715232706,0.2613077937,1.61269,1.38339
hsa_miR_636_4395199,_212644_s_at,-0.3189590582,-0.2229020642,1.67692,1.47282
hsa_miR_200c_4395411,_212643_at,0.2204893642,0.2411560135,0.95926,1.19365
hsa_miR_205_4373093,_212643_at,0.2504702347,0.2521394181,1.04747,1.22623
hsa_miR_335_4373045,_212643_at,-0.3114872324,-0.2468751731,1.63242,1.4503
hsa_miR_363_4378090,_212643_at,0.4384534589,0.3455310775,1.97046,1.76796
hsa_miR_636_4395199,_212643_at,-0.3047286778,-0.2415954164,1.73182,1.57395
hsa_miR_363_4378090,_212628_at,-0.2631659862,-0.2719234357,1.38776,1.43308
hsa_miR_616_4395525,_212628_at,0.2871483669,0.2922414535,1.64968,1.63189
hsa_miR_125a_5p_4395309,_212611_at,-0.2390706307,-0.2555763317,1.30977,1.38075
hsa_miR_363_4378090,_212611_at,-0.3140721641,-0.3234791588,1.66077,1.66909
hsa_miR_363_4378090,_212591_at,0.3250135967,0.2597583043,2.09908,1.77476
hsa_miR_758_4395180,_212583_at,-0.2432431758,-0.2910631389,1.79868,1.82653
hsa_miR_758_4395180,_212577_at,0.2314415658,0.2339397804,1.75136,1.76189
hsa_miR_335_4373045,_212569_at,-0.2098622234,-0.2032615258,1.67103,1.59196
hsa_miR_335_4373045,_212548_s_at,-0.250595687,-0.2329551831,1.40619,1.30957
hsa_miR_363_4378090,_212548_s_at,0.2966572771,0.2840387179,1.57085,1.53967
hsa_miR_873_4395467,_212548_s_at,-0.2232113495,-0.2466215623,1.27872,1.39395
hsa_miR_758_4395180,_212543_at,0.2224771407,0.2957336107,1.59707,1.78741
hsa_miR_410_4378093,_212504_at,-0.2316125843,-0.2449695493,1.68147,1.72606
hsa_miR_410_4378093,_212503_s_at,-0.2414095734,-0.2653614159,1.70419,1.75442
hsa_miR_758_4395180,_212503_s_at,-0.2126653848,-0.2384809251,1.51094,1.50529
hsa_miR_363_4378090,_212498_at,0.2749919635,0.2461383534,1.38845,1.33492
hsa_miR_518b_4373246,_212498_at,-0.2173196512,-0.2089386529,1.32151,1.32698
hsa_miR_636_4395199,_212498_at,-0.2162354134,-0.2026474254,1.26581,1.24082
hsa_miR_873_4395467,_212498_at,-0.2931379085,-0.2730937119,1.52805,1.51259
hsa_miR_758_4395180,_212480_at,0.209000889,0.2578580568,1.28158,1.39049
hsa_miR_335_4373045,_212469_at,-0.2301616128,-0.2016670296,1.60184,1.45986
hsa_miR_125a_3p_4395310,_212447_at,-0.2678427981,-0.2793786564,1.82967,1.73166
hsa_miR_363_4378090,_212447_at,-0.2586316397,-0.2737152833,1.78273,1.73654
hsa_miR_205_4373093,_212436_at,-0.2466883148,-0.2474998594,1.60479,1.51395
hsa_miR_125a_5p_4395309,_212328_at,-0.2485106228,-0.2345376739,1.764,1.23175
hsa_miR_363_4378090,_212328_at,-0.2380316948,-0.3557385866,1.53837,1.79094
hsa_miR_363_4378090,_212327_at,-0.2992699286,-0.2823019864,1.67801,1.31155
hsa_miR_363_4378090,_212282_at,-0.2657802191,-0.2257086338,1.88949,1.62036
hsa_miR_363_4378090,_212281_s_at,-0.2509206204,-0.2062877954,1.7996,1.52489
hsa_miR_363_4378090,_212273_x_at,-0.3154509823,-0.3381028014,1.90598,2.07788
hsa_miR_758_4395180,_212244_at,-0.2152748532,-0.2747264381,1.52727,1.56904
hsa_miR_200c_4395411,_212243_at,0.2023073434,0.2318547701,1.42522,1.31025
hsa_miR_758_4395180,_212243_at,-0.2006811165,-0.2294860016,1.28012,1.24633
hsa_miR_335_4373045,_212233_at,0.2354022874,0.2588430832,1.65495,1.40687
hsa_miR_200c_4395411,_212231_at,0.2069161348,0.2474457745,1.61686,1.25863
hsa_miR_139_5p_4395400,_212181_s_at,-0.3033383487,-0.2450107478,1.36066,1.18527
hsa_miR_363_4378090,_212181_s_at,0.4930629687,0.3993566387,2.21534,1.95723
hsa_miR_873_4395467,_212181_s_at,-0.2493593745,-0.2562753827,1.12164,1.21852
hsa_miR_139_5p_4395400,_212171_x_at,-0.2018325246,-0.214859665,1.11969,1.07873
hsa_miR_363_4378090,_212171_x_at,0.4261955031,0.4582271282,2.23531,2.27421
hsa_miR_363_4378090,_212159_x_at,-0.2018250634,-0.2234878142,1.15028,1.04326
hsa_miR_363_4378090,_212101_at,-0.2644958226,-0.2686853648,1.7709,1.76133
hsa_miR_410_4378093,_212101_at,0.2175940856,0.2443814374,1.44935,1.65284
hsa_miR_758_4395180,_212046_x_at,0.226232904,0.2619870559,1.55171,1.74289
hsa_miR_363_4378090,_212042_x_at,0.3811446068,0.3852275024,2.31609,2.35019
hsa_miR_758_4395180,_212042_x_at,-0.2146368631,-0.225478599,1.33251,1.40462
hsa_miR_363_4378090,_212013_at,-0.2171903942,-0.2228484909,1.53868,1.45796
hsa_miR_758_4395180,_212013_at,0.2135693726,0.2456028432,1.48145,1.5751
hsa_miR_758_4395180,_212012_at,0.2191077323,0.2524771996,1.53971,1.62096
hsa_miR_139_5p_4395400,_211992_at,0.2517783289,0.2203706832,1.66392,1.54919
hsa_miR_363_4378090,_211992_at,-0.4629450501,-0.4004367403,2.58201,2.38586
hsa_miR_363_4378090,_211986_at,0.2467100454,0.2491533514,1.52834,1.55007
hsa_miR_873_4395467,_211956_s_at,0.2238050073,0.2669160311,1.28713,1.41133
hsa_miR_139_5p_4395400,_211938_at,-0.2146208158,-0.2698207373,1.324,1.4619
hsa_miR_141_4373137,_211938_at,0.2251520107,0.2232097278,1.03521,0.91818
hsa_miR_197_4373102,_211938_at,0.2432812358,0.2475336097,1.09347,0.97525
hsa_miR_200c_4395411,_211938_at,0.2498135625,0.2552677542,1.11164,0.99769
hsa_miR_363_4378090,_211938_at,0.3795085732,0.4401603597,1.75955,1.84838
hsa_miR_758_4395180,_211938_at,-0.2523188678,-0.2611531314,1.08896,1.06121
hsa_miR_873_4395467,_211938_at,-0.2804255427,-0.2929299275,1.5521,1.49963
hsa_miR_363_4378090,_211937_at,0.4773256551,0.4274291374,2.2176,2.01802
hsa_miR_139_5p_4395400,_211934_x_at,-0.2574459884,-0.260192399,1.49113,1.47218
hsa_miR_363_4378090,_211934_x_at,0.3670522186,0.3696465681,2.01245,2.01412
hsa_miR_363_4378090,_211779_x_at,-0.2961597137,-0.2767609882,1.54568,1.31955
hsa_miR_139_5p_4395400,_211730_s_at,0.2901975706,0.23602176,1.87678,1.62429
hsa_miR_125a_5p_4395309,_211724_x_at,0.2293537459,0.2431304983,1.51849,1.5045
hsa_miR_636_4395199,_211724_x_at,0.2123221825,0.2697041656,1.48495,1.66733
hsa_miR_758_4395180,_211724_x_at,0.2225531627,0.2589796869,1.57404,1.67743
hsa_miR_139_5p_4395400,_211721_s_at,-0.2379521716,-0.2157012033,1.63057,1.54929
hsa_miR_363_4378090,_211721_s_at,0.3433667456,0.3129751414,2.29291,2.18289
hsa_miR_125a_5p_4395309,_211710_x_at,-0.2059405008,-0.2059840121,1.36907,1.44515
hsa_miR_758_4395180,_211686_s_at,-0.202266799,-0.2184559257,1.1822,1.21837
hsa_miR_363_4378090,_211623_s_at,-0.2523007586,-0.3073960537,1.62249,2.07057
hsa_miR_125a_3p_4395310,_211580_s_at,-0.2289850403,-0.2182023232,1.48488,1.5563
hsa_miR_363_4378090,_211580_s_at,-0.2218556229,-0.2046258698,1.29786,1.32108
hsa_miR_363_4378090,_211519_s_at,-0.274322762,-0.2893669689,1.90508,1.91487
hsa_miR_758_4395180,_211519_s_at,0.2099167283,0.2256515498,1.41895,1.45732
hsa_miR_139_5p_4395400,_211499_s_at,0.2150293523,0.208227996,1.68424,1.67075
hsa_miR_363_4378090,_211499_s_at,-0.3018002975,-0.2849428413,2.08252,2.03678
hsa_miR_200c_4395411,_211471_s_at,0.2305563623,0.2105910716,1.52795,1.07629
hsa_miR_363_4378090,_211471_s_at,0.3738145639,0.6112139275,2.09596,2.46964
hsa_miR_205_4373093,_211385_x_at,-0.2291544014,-0.2302843084,1.10002,1.08577
hsa_miR_363_4378090,_211385_x_at,-0.4843536558,-0.4687901398,2.37787,2.29465
hsa_miR_410_4378093,_211385_x_at,0.2113441855,0.2232121317,1.02791,1.18586
hsa_miR_616_4395525,_211385_x_at,0.2182688769,0.2113517184,1.06141,1.01316
hsa_miR_873_4395467,_211203_s_at,-0.2517811235,-0.2441004536,1.71017,1.72429
hsa_miR_205_4373093,_211168_s_at,-0.201713836,-0.2211512863,1.48279,1.4172
hsa_miR_363_4378090,_211137_s_at,-0.3095090558,-0.2507938479,1.8772,1.63355
hsa_miR_363_4378090,_210908_s_at,0.2495880128,0.2554201338,1.67458,1.56522
hsa_miR_758_4395180,_210908_s_at,-0.2494449248,-0.2891950352,1.61984,1.737
hsa_miR_363_4378090,_210621_s_at,0.3086617911,0.2344091902,1.50548,1.30935
hsa_miR_410_4378093,_210609_s_at,-0.2693651044,-0.2143190772,2.43865,1.46877
hsa_miR_139_5p_4395400,_210512_s_at,-0.2425412697,-0.2482741662,1.29299,1.24425
hsa_miR_363_4378090,_210512_s_at,0.4655568715,0.4806985158,2.4388,2.43992
hsa_miR_873_4395467,_210438_x_at,-0.2840278546,-0.272164448,1.83687,1.74285
hsa_miR_363_4378090,_210312_s_at,0.2808404414,0.4300418001,2.10001,2.44383
hsa_miR_363_4378090,_210283_x_at,-0.2629541045,-0.234286853,1.81316,1.57839
hsa_miR_758_4395180,_210283_x_at,0.2343840672,0.2697545287,1.57389,1.78746
hsa_miR_873_4395467,_210253_at,-0.2279959994,-0.2225360128,1.47689,1.45495
hsa_miR_758_4395180,_210216_x_at,0.2427316315,0.269690894,1.83768,1.95964
hsa_miR_335_4373045,_210114_at,0.2101482554,0.2022486942,1.65893,1.5983
hsa_miR_200c_4395411,_210101_x_at,-0.2099057251,-0.2413103452,1.45261,1.39727
hsa_miR_758_4395180,_210059_s_at,0.2140894012,0.2497745266,1.67854,1.82328
hsa_miR_758_4395180,_210056_at,-0.2076056004,-0.2069199865,1.81448,1.01604
hsa_miR_125a_3p_4395310,_210027_s_at,0.2734342022,0.2816045629,1.2553,1.21237
hsa_miR_205_4373093,_210027_s_at,0.2176124693,0.2342037778,1.10251,1.08598
hsa_miR_363_4378090,_210027_s_at,0.4246765684,0.4523498643,1.95604,1.96807
hsa_miR_616_4395525,_210027_s_at,-0.3577736375,-0.3773255626,1.63874,1.60119
hsa_miR_363_4378090,_209885_at,-0.3115402938,-0.3171578507,1.87764,1.92673
hsa_miR_363_4378090,_209760_at,0.3017737094,0.2779204541,2.02942,1.95096
hsa_miR_125a_5p_4395309,_209743_s_at,0.2120777929,0.2721958306,1.53312,1.60569
hsa_miR_758_4395180,_209743_s_at,0.252277016,0.3547351852,1.55712,1.63544
hsa_miR_410_4378093,_209735_at,-0.2429806621,-0.213012959,1.85092,1.69399
hsa_miR_139_5p_4395400,_209731_at,-0.2085350031,-0.2473659676,1.36667,1.91176
hsa_miR_363_4378090,_209731_at,0.3818400142,0.4465020888,2.56687,3.08832
hsa_miR_410_4378093,_209704_at,0.2101399912,0.2286552171,1.55277,1.73652
hsa_miR_363_4378090,_209699_x_at,-0.2233134788,-0.2290664176,1.38009,1.40448
hsa_miR_758_4395180,_209678_s_at,0.2142188379,0.2343872318,1.59072,1.68416
hsa_miR_758_4395180,_209633_at,0.2219881927,0.2642662998,1.48829,1.63297
hsa_miR_125a_3p_4395310,_209625_at,0.2490937881,0.2698303592,1.40902,1.34996
hsa_miR_125a_5p_4395309,_209625_at,0.2052801125,0.2554855147,1.18103,1.2914
hsa_miR_616_4395525,_209625_at,-0.2642781338,-0.2836897989,1.53333,1.43021
hsa_miR_873_4395467,_209625_at,0.2797805689,0.3094999201,1.53687,1.50336
hsa_miR_205_4373093,_209607_x_at,-0.2419123078,-0.2433306362,1.07294,1.15549
hsa_miR_335_4373045,_209607_x_at,0.2262197769,0.2082397088,1.33059,1.27001
hsa_miR_363_4378090,_209607_x_at,-0.5230953463,-0.4486288774,2.40206,2.20753
hsa_miR_125a_5p_4395309,_209604_s_at,-0.2567493903,-0.2710367259,1.12357,1.15265
hsa_miR_205_4373093,_209604_s_at,-0.2042624717,-0.2108122047,0.96067,0.95268
hsa_miR_221_4373077,_209604_s_at,0.2093559416,0.2242057222,1.52332,1.55708
hsa_miR_363_4378090,_209604_s_at,-0.4966099182,-0.4972645912,2.3583,2.29954
hsa_miR_616_4395525,_209604_s_at,0.249165877,0.2472265305,1.12538,1.07172
hsa_miR_363_4378090,_209567_at,0.3453084636,0.3487912744,2.61333,2.80247
hsa_miR_758_4395180,_209524_at,-0.200674435,-0.212488107,1.45565,1.38889
hsa_miR_205_4373093,_209511_at,-0.2343442799,-0.2476211321,1.43762,1.39004
hsa_miR_363_4378090,_209408_at,-0.4129060916,-0.3430557499,2.36395,2.09964
hsa_miR_363_4378090,_209407_s_at,0.4031815615,0.4229250945,2.16829,2.38255
hsa_miR_873_4395467,_209387_s_at,-0.3019667271,-0.2848187273,1.95798,1.92135
hsa_miR_873_4395467,_209386_at,-0.2915408907,-0.2756744689,1.8764,1.87496
hsa_miR_335_4373045,_209357_at,-0.2754768987,-0.2597278484,2.05875,1.78787
hsa_miR_205_4373093,_209352_s_at,-0.2456368384,-0.218722907,1.52979,1.42024
hsa_miR_139_5p_4395400,_209295_at,-0.2029189813,-0.3185258747,1.37704,1.7686
hsa_miR_363_4378090,_209295_at,0.2893023925,0.4294510256,1.7671,2.45373
hsa_miR_758_4395180,_209295_at,-0.2370014078,-0.2285716601,1.48036,1.39272
hsa_miR_363_4378090,_209282_at,-0.3614193192,-0.3547590271,2.16593,2.13825
hsa_miR_363_4378090,_209270_at,0.2007080002,0.2179505335,1.398,1.48351
hsa_miR_125a_3p_4395310,_209265_s_at,0.3124273102,0.3160572046,1.16089,1.10406
hsa_miR_205_4373093,_209265_s_at,0.258358733,0.2589669147,0.9991,0.93842
hsa_miR_363_4378090,_209265_s_at,0.5255892221,0.5427988932,2.14558,2.11955
hsa_miR_616_4395525,_209265_s_at,-0.3552779476,-0.3606647724,1.32529,1.26018
hsa_miR_636_4395199,_209265_s_at,-0.263118827,-0.2737684272,1.46963,1.45467
hsa_miR_200c_4395411,_209252_at,0.2050470388,0.2390726085,1.29118,1.36491
hsa_miR_363_4378090,_209252_at,0.3969790299,0.4314627453,1.94486,1.99813
hsa_miR_758_4395180,_209252_at,-0.258146948,-0.3027446685,1.3466,1.45861
hsa_miR_873_4395467,_209252_at,-0.2273739801,-0.2395324918,1.28443,1.23917
hsa_miR_363_4378090,_209221_s_at,-0.2405229546,-0.264773257,1.18357,1.34526
hsa_miR_335_4373045,_209213_at,0.2123266289,0.2049143076,1.55245,1.61913
hsa_miR_205_4373093,_209205_s_at,-0.2051847119,-0.2412673161,1.04062,1.16347
hsa_miR_335_4373045,_209205_s_at,0.2440589782,0.250951581,1.40321,1.38277
hsa_miR_363_4378090,_209205_s_at,-0.4799833333,-0.4755233754,2.30838,2.25088
hsa_miR_616_4395525,_209205_s_at,0.2029465839,0.2008712666,1.03101,1.00313
hsa_miR_410_4378093,_209188_x_at,0.2244756024,0.2302451288,1.66172,1.69044
hsa_miR_758_4395180,_209188_x_at,0.2076366351,0.2142318482,1.55916,1.54608
hsa_miR_125a_5p_4395309,_209186_at,-0.2125126777,-0.2414472623,1.40993,1.02208
hsa_miR_200c_4395411,_209186_at,0.206110442,0.2608383133,1.50517,1.21219
hsa_miR_363_4378090,_209185_s_at,-0.2996760376,-0.2397238608,1.56187,1.36508
hsa_miR_363_4378090,_209184_s_at,-0.2751099194,-0.3026883314,1.53636,1.48568
hsa_miR_363_4378090,_209171_at,0.2551858386,0.2773742873,1.88697,2.07561
hsa_miR_139_5p_4395400,_209163_at,-0.2354098018,-0.2148361097,1.73362,1.67585
hsa_miR_758_4395180,_209155_s_at,-0.2106152151,-0.2227897725,1.57484,1.68141
hsa_miR_873_4395467,_209135_at,-0.2131624389,-0.2664262802,1.55164,1.83551
hsa_miR_873_4395467,_209132_s_at,0.2617539668,0.3011559648,1.94199,2.38223
hsa_miR_200c_4395411,_209091_s_at,-0.2162790967,-0.2407039438,1.44985,1.37758
hsa_miR_363_4378090,_209063_x_at,-0.2416247591,-0.2447880337,1.69968,1.59289
hsa_miR_758_4395180,_209063_x_at,0.2290967375,0.2654254704,1.57246,1.69358
hsa_miR_363_4378090,_209035_at,0.2882398653,0.3330644736,1.64149,1.73626
hsa_miR_758_4395180,_208986_at,-0.2350069053,-0.2421348313,1.7014,1.83466
hsa_miR_205_4373093,_208946_s_at,0.2667762311,0.2103110503,1.53896,1.33875
hsa_miR_335_4373045,_208946_s_at,-0.2125537238,-0.2769058711,1.46534,1.9085
hsa_miR_125a_3p_4395310,_208918_s_at,-0.2681320844,-0.280023846,1.59387,1.69443
hsa_miR_363_4378090,_208918_s_at,-0.3095672747,-0.3037495039,1.86452,1.89225
hsa_miR_200c_4395411,_208819_at,-0.2485343283,-0.2561194943,1.11737,1.11348
hsa_miR_205_4373093,_208819_at,-0.241188456,-0.2419981744,1.08626,1.06284
hsa_miR_363_4378090,_208819_at,-0.3713528897,-0.4026823383,1.70024,1.69082
hsa_miR_636_4395199,_208819_at,0.222247747,0.2425244007,1.42297,1.37099
hsa_miR_873_4395467,_208819_at,0.2707447275,0.2681006405,1.46077,1.32428
hsa_miR_363_4378090,_208810_at,0.207985151,0.2554011734,1.49185,1.45238
hsa_miR_873_4395467,_208810_at,-0.2544408368,-0.390043825,1.95312,2.224
hsa_miR_125a_3p_4395310,_208799_at,0.2376209546,0.3107342931,1.46286,1.45711
hsa_miR_616_4395525,_208799_at,-0.234201984,-0.3410455642,1.53458,1.61703
hsa_miR_873_4395467,_208799_at,0.2211578688,0.3211654871,1.32809,1.43167
hsa_miR_363_4378090,_208798_x_at,-0.20735023,-0.2139733249,1.35831,1.40813
hsa_miR_363_4378090,_208794_s_at,0.2037013678,0.2091311595,1.33282,1.443
hsa_miR_363_4378090,_208793_x_at,0.2065248681,0.2129503896,1.31911,1.44997
hsa_miR_139_5p_4395400,_208784_s_at,-0.243901924,-0.2164288424,1.80356,1.70422
hsa_miR_410_4378093,_208779_x_at,0.2408403155,0.2736480452,1.50411,1.78532
hsa_miR_616_4395525,_208723_at,-0.2138047452,-0.2254707475,1.5977,1.73525
hsa_miR_139_5p_4395400,_208719_s_at,-0.2255508172,-0.2517833188,1.44004,1.40151
hsa_miR_410_4378093,_208719_s_at,0.2533992809,0.281039559,1.55012,1.62357
hsa_miR_616_4395525,_208717_at,-0.2223716621,-0.2536490082,1.6709,1.72028
hsa_miR_758_4395180,_208659_at,0.2195693618,0.2750652769,1.61282,1.76918
hsa_miR_758_4395180,_208640_at,0.2248440231,0.2654620751,1.6446,1.80983
hsa_miR_410_4378093,_208517_x_at,0.2394028402,0.236902022,1.29806,1.31356
hsa_miR_363_4378090,_208308_s_at,-0.2650452831,-0.4897591125,1.77946,2.45642
hsa_miR_410_4378093,_208241_at,-0.2329847972,-0.2068443097,1.72878,1.58645
hsa_miR_139_5p_4395400,_208158_s_at,0.2209147443,0.2862877389,1.65191,1.8466
hsa_miR_363_4378090,_208158_s_at,-0.2416850479,-0.3042807414,1.6084,1.89186
hsa_miR_410_4378093,_208151_x_at,0.2151764915,0.2416519924,1.39344,1.50566
hsa_miR_363_4378090,_208091_s_at,-0.2347291472,-0.204107814,1.50321,1.32911
hsa_miR_200c_4395411,_208078_s_at,0.2265600198,0.2198726525,1.48717,1.21461
hsa_miR_205_4373093,_208021_s_at,-0.2068268942,-0.2214722847,1.50357,1.39473
hsa_miR_410_4378093,_207654_x_at,0.2400413637,0.2508713034,1.75897,1.79373
